timestamp,value
2022-06-15T06:37:30.0000000Z,0
2022-06-15T06:39:30.0000000Z,0
2022-06-15T06:41:30.0000000Z,0
2022-06-15T06:43:30.0000000Z,0
2022-06-15T06:45:30.0000000Z,0
2022-06-15T06:47:30.0000000Z,0
2022-06-15T06:49:30.0000000Z,0
2022-06-15T06:51:30.0000000Z,0
2022-06-15T06:53:30.0000000Z,0
2022-06-15T06:55:30.0000000Z,0
2022-06-15T06:57:30.0000000Z,0
2022-06-15T06:59:30.0000000Z,0
2022-06-15T07:01:30.0000000Z,0
2022-06-15T07:03:30.0000000Z,0
2022-06-15T07:05:30.0000000Z,0
2022-06-15T07:07:30.0000000Z,0
2022-06-15T07:09:30.0000000Z,0
2022-06-15T07:11:30.0000000Z,0
2022-06-15T07:13:30.0000000Z,0
2022-06-15T07:15:30.0000000Z,0
2022-06-15T07:17:30.0000000Z,0
2022-06-15T07:19:30.0000000Z,0
2022-06-15T07:21:30.0000000Z,0
2022-06-15T07:23:30.0000000Z,0
2022-06-15T07:25:30.0000000Z,0
2022-06-15T07:27:30.0000000Z,0
2022-06-15T07:29:30.0000000Z,0
2022-06-15T07:31:30.0000000Z,0
2022-06-15T07:33:30.0000000Z,0
2022-06-15T07:35:30.0000000Z,0
2022-06-15T07:37:30.0000000Z,0
2022-06-15T07:39:30.0000000Z,0
2022-06-15T07:41:30.0000000Z,0
2022-06-15T07:43:30.0000000Z,0
2022-06-15T07:45:30.0000000Z,0
2022-06-15T07:47:30.0000000Z,0
2022-06-15T07:49:30.0000000Z,0
2022-06-15T07:51:30.0000000Z,0
2022-06-15T07:53:30.0000000Z,0
2022-06-15T07:55:30.0000000Z,0
2022-06-15T07:57:30.0000000Z,0
2022-06-15T07:59:30.0000000Z,0
2022-06-15T08:01:30.0000000Z,0.02
2022-06-15T08:03:30.0000000Z,0
2022-06-15T08:05:30.0000000Z,0
2022-06-15T08:07:30.0000000Z,0
2022-06-15T08:09:30.0000000Z,0
2022-06-15T08:11:30.0000000Z,0
